user_id,transaction_date,region,product_category,sale_amount,status,city,age,subscription,raw_timestamp,email,username,price,store_id
101,2026-06-01,West,Electronics,400,,Delhi,18,Premium,2026-06-01 10:00:00,user101@gmail.com,user101,400,S1
102,2026-06-02,East,Clothing,500,Completed,Mumbai,19,Basic,2026-06-02 10:00:00,user102@gmail.com,user102,500,S2
103,2026-06-03,North,Grocery,600,Pending,Bangalore,20,Premium,2026-06-03 10:00:00,user103@gmail.com,user103,600,S3
104,2026-06-04,South,Electronics,700,,Chennai,21,Basic,2026-06-04 10:00:00,,user104,700,S1
105,2026-06-05,West,Clothing,800,Completed,Pune,22,Premium,2026-06-05 10:00:00,user105@gmail.com,user105,800,S2
106,2026-06-06,East,Grocery,900,Pending,Delhi,23,Basic,2026-06-06 10:00:00,user106@gmail.com,user106,900,S3
107,2026-06-07,North,Electronics,1000,,Mumbai,24,Premium,2026-06-07 10:00:00,user107@gmail.com,user107,1000,S1
108,2026-06-08,South,Clothing,1100,Completed,Bangalore,25,Basic,2026-06-08 10:00:00,user108@gmail.com,user108,1100,S2
109,2026-06-09,West,Grocery,1200,Pending,Chennai,26,Premium,2026-06-09 10:00:00,user109@gmail.com,user109,1200,S3
110,2026-06-10,East,Electronics,1300,,Pune,27,Basic,2026-06-10 10:00:00,user110@gmail.com,,1300,S1
111,2026-06-11,North,Clothing,1400,Completed,Delhi,28,Premium,2026-06-11 10:00:00,user111@gmail.com,user111,1400,S2
112,2026-06-12,South,Grocery,1500,Pending,Mumbai,29,Basic,2026-06-12 10:00:00,,user112,1500,S3
113,2026-06-13,West,Electronics,1600,,Bangalore,30,Premium,2026-06-13 10:00:00,user113@gmail.com,user113,1600,S1
114,2026-06-14,East,Clothing,1700,Completed,Chennai,31,Basic,2026-06-14 10:00:00,user114@gmail.com,user114,1700,S2
115,2026-06-15,North,Grocery,1800,Pending,Pune,32,Premium,2026-06-15 10:00:00,user115@gmail.com,user115,1800,S3
116,2026-06-16,South,Electronics,1900,,Delhi,33,Basic,2026-06-16 10:00:00,user116@gmail.com,user116,1900,S1
117,2026-06-17,West,Clothing,2000,Completed,Mumbai,34,Premium,2026-06-17 10:00:00,user117@gmail.com,user117,2000,S2
118,2026-06-18,East,Grocery,2100,Pending,Bangalore,35,Basic,2026-06-18 10:00:00,user118@gmail.com,user118,2100,S3
119,2026-06-19,North,Electronics,2200,,Chennai,36,Premium,2026-06-19 10:00:00,user119@gmail.com,user119,2200,S1
120,2026-06-20,South,Clothing,2300,Completed,Pune,37,Basic,2026-06-20 10:00:00,,,2300,S2
121,2026-06-21,West,Grocery,400,Pending,Delhi,38,Premium,2026-06-21 10:00:00,user121@gmail.com,user121,400,S3
122,2026-06-22,East,Electronics,500,,Mumbai,39,Basic,2026-06-22 10:00:00,user122@gmail.com,user122,500,S1
123,2026-06-23,North,Clothing,600,Completed,Bangalore,40,Premium,2026-06-23 10:00:00,user123@gmail.com,user123,600,S2
124,2026-06-24,South,Grocery,700,Pending,Chennai,41,Basic,2026-06-24 10:00:00,user124@gmail.com,user124,700,S3
125,2026-06-25,West,Electronics,800,,Pune,42,Premium,2026-06-25 10:00:00,user125@gmail.com,user125,800,S1
126,2026-06-01,East,Clothing,900,Completed,Delhi,43,Basic,2026-06-01 10:00:00,user126@gmail.com,user126,900,S2
127,2026-06-02,North,Grocery,1000,Pending,Mumbai,18,Premium,2026-06-02 10:00:00,user127@gmail.com,user127,1000,S3
128,2026-06-03,South,Electronics,1100,,Bangalore,19,Basic,2026-06-03 10:00:00,,user128,1100,S1
129,2026-06-04,West,Clothing,1200,Completed,Chennai,20,Premium,2026-06-04 10:00:00,user129@gmail.com,user129,1200,S2
130,2026-06-05,East,Grocery,1300,Pending,Pune,21,Basic,2026-06-05 10:00:00,user130@gmail.com,,1300,S3
131,2026-06-06,North,Electronics,1400,,Delhi,22,Premium,2026-06-06 10:00:00,user131@gmail.com,user131,1400,S1
132,2026-06-07,South,Clothing,1500,Completed,Mumbai,23,Basic,2026-06-07 10:00:00,user132@gmail.com,user132,1500,S2
133,2026-06-08,West,Grocery,1600,Pending,Bangalore,24,Premium,2026-06-08 10:00:00,user133@gmail.com,user133,1600,S3
134,2026-06-09,East,Electronics,1700,,Chennai,25,Basic,2026-06-09 10:00:00,user134@gmail.com,user134,1700,S1
135,2026-06-10,North,Clothing,1800,Completed,Pune,26,Premium,2026-06-10 10:00:00,user135@gmail.com,user135,1800,S2
136,2026-06-11,South,Grocery,1900,Pending,Delhi,27,Basic,2026-06-11 10:00:00,,user136,1900,S3
137,2026-06-12,West,Electronics,2000,,Mumbai,28,Premium,2026-06-12 10:00:00,user137@gmail.com,user137,2000,S1
138,2026-06-13,East,Clothing,2100,Completed,Bangalore,29,Basic,2026-06-13 10:00:00,user138@gmail.com,user138,2100,S2
139,2026-06-14,North,Grocery,2200,Pending,Chennai,30,Premium,2026-06-14 10:00:00,user139@gmail.com,user139,2200,S3
140,2026-06-15,South,Electronics,2300,,Pune,31,Basic,2026-06-15 10:00:00,user140@gmail.com,,2300,S1
141,2026-06-16,West,Clothing,400,Completed,Delhi,32,Premium,2026-06-16 10:00:00,user141@gmail.com,user141,400,S2
142,2026-06-17,East,Grocery,500,Pending,Mumbai,33,Basic,2026-06-17 10:00:00,user142@gmail.com,user142,500,S3
143,2026-06-18,North,Electronics,600,,Bangalore,34,Premium,2026-06-18 10:00:00,user143@gmail.com,user143,600,S1
144,2026-06-19,South,Clothing,700,Completed,Chennai,35,Basic,2026-06-19 10:00:00,,user144,700,S2
145,2026-06-20,West,Grocery,800,Pending,Pune,36,Premium,2026-06-20 10:00:00,user145@gmail.com,user145,800,S3
146,2026-06-21,East,Electronics,900,,Delhi,37,Basic,2026-06-21 10:00:00,user146@gmail.com,user146,900,S1
147,2026-06-22,North,Clothing,1000,Completed,Mumbai,38,Premium,2026-06-22 10:00:00,user147@gmail.com,user147,1000,S2
148,2026-06-23,South,Grocery,1100,Pending,Bangalore,39,Basic,2026-06-23 10:00:00,user148@gmail.com,user148,1100,S3
149,2026-06-24,West,Electronics,1200,,Chennai,40,Premium,2026-06-24 10:00:00,user149@gmail.com,user149,1200,S1
150,2026-06-25,East,Clothing,1300,Completed,Pune,41,Basic,2026-06-25 10:00:00,user150@gmail.com,,1300,S2
101,2026-06-01,West,Electronics,400,,Delhi,18,Premium,2026-06-01 10:00:00,user101@gmail.com,user101,400,S1
102,2026-06-02,East,Clothing,500,Completed,Mumbai,19,Basic,2026-06-02 10:00:00,user102@gmail.com,user102,500,S2
103,2026-06-03,North,Grocery,600,Pending,Bangalore,20,Premium,2026-06-03 10:00:00,user103@gmail.com,user103,600,S3
104,2026-06-04,South,Electronics,700,,Chennai,21,Basic,2026-06-04 10:00:00,,user104,700,S1
105,2026-06-05,West,Clothing,800,Completed,Pune,22,Premium,2026-06-05 10:00:00,user105@gmail.com,user105,800,S2
106,2026-06-06,East,Grocery,900,Pending,Delhi,23,Basic,2026-06-06 10:00:00,user106@gmail.com,user106,900,S3
107,2026-06-07,North,Electronics,1000,,Mumbai,24,Premium,2026-06-07 10:00:00,user107@gmail.com,user107,1000,S1
108,2026-06-08,South,Clothing,1100,Completed,Bangalore,25,Basic,2026-06-08 10:00:00,user108@gmail.com,user108,1100,S2
109,2026-06-09,West,Grocery,1200,Pending,Chennai,26,Premium,2026-06-09 10:00:00,user109@gmail.com,user109,1200,S3
110,2026-06-10,East,Electronics,1300,,Pune,27,Basic,2026-06-10 10:00:00,user110@gmail.com,,1300,S1
