customer_id,customer_name,email,registration_date,customer_type
CUST0001,Eve Rodriguez,everodriguez2620@email.com,2025-10-16,VIP
CUST0002,Jane Garcia,janegarcia7607@email.com,2026-01-20,PREMIUM
CUST0003,Jane Martinez,janemartinez5622@email.com,2026-03-16,REGULAR
CUST0004,Frank Jones,frankjones7374@email.com,2025-08-27,PREMIUM
CUST0005,Charlie Miller,charliemiller8897@email.com,2025-11-25,PREMIUM
CUST0006,Charlie Smith,charliesmith8817@email.com,2025-08-13,VIP
CUST0007,John Williams,johnwilliams1124@email.com,2025-08-31,VIP
CUST0008,John Rodriguez,johnrodriguez8320@email.com,2025-09-11,PREMIUM
CUST0009,Diana Smith,dianasmith8263@email.com,2025-07-30,REGULAR
CUST0010,Henry Williams,henrywilliams5458@email.com,2026-03-14,VIP
CUST0011,Charlie Martinez,charliemartinez1526@email.com,2025-11-26,VIP
CUST0012,Jane Martinez,janemartinez3441,2025-07-16,VIP
CUST0013,John Williams,johnwilliams7962@email.com,2025-11-18,PREMIUM
CUST0014,Henry Williams,henrywilliams@4232,2025-07-14,PREMIUM
CUST0015,Alice Miller,alicemiller1139@email.com,2026-05-11,REGULAR
CUST0016,Grace Martinez,gracemartinez2244@email.com,2026-06-03,REGULAR
CUST0017,Charlie Smith,charliesmith3640@email.com,2025-11-03,REGULAR
CUST0018,Charlie Miller,charliemiller8713@email.com,2025-08-07,PREMIUM
CUST0019,Jane Smith,janesmith5805@email.com,2025-09-09,VIP
CUST0020,Henry Jones,henryjones2589@email.com,2026-03-31,PREMIUM
CUST0021,Henry Smith,henrysmith2286@email.com,2025-07-14,REGULAR
CUST0022,Alice Jones,alicejones4478@email.com,2025-08-13,REGULAR
CUST0023,Eve Smith,evesmith3187@email.com,2026-06-14,PREMIUM
CUST0024,Frank Davis,frankdavis5894@email.com,2026-05-13,PREMIUM
CUST0025,Frank Jones,frankjones4925@email.com,2025-09-10,REGULAR
CUST0026,Charlie Williams,charliewilliams5264@email.com,2025-11-17,VIP
CUST0027,Henry Miller,henrymiller7029@email.com,2026-02-09,REGULAR
CUST0028,Jane Johnson,janejohnson7501@email.com,2025-12-20,REGULAR
CUST0029,Eve Smith,evesmith6736@email.com,2026-03-16,PREMIUM
CUST0030,Henry Williams,henrywilliams9905@email.com,2025-10-04,PREMIUM
CUST0031,Diana Garcia,dianagarcia7589@email.com,2025-09-16,VIP
CUST0032,Diana Davis,dianadavis9524@email.com,2025-08-21,PREMIUM
CUST0033,John Johnson,johnjohnson2414@email.com,2025-11-29,REGULAR
CUST0034,Jane Martinez,janemartinez8971@email.com,2026-05-22,REGULAR
CUST0035,Alice Davis,alicedavis8596@email.com,2026-02-20,REGULAR
CUST0036,Jane Smith,janesmith2533@email.com,2026-04-15,PREMIUM
CUST0037,Alice Williams,alicewilliams7498@email.com,2025-10-31,PREMIUM
CUST0038,Grace Miller,gracemiller4104@email.com,2026-04-13,PREMIUM
CUST0039,Alice Johnson,alicejohnson3191@email.com,2026-04-05,REGULAR
CUST0040,Henry Johnson,henryjohnson9207@email.com,2025-12-17,PREMIUM
CUST0041,Alice Miller,alicemiller1910@email.com,2025-10-06,PREMIUM
CUST0042,Grace Davis,gracedavis3848@email.com,2025-09-02,VIP
CUST0043,John Davis,johndavis@5864,2025-12-27,PREMIUM
