QUERY 11 RESULTS
================================================================================

customer_id | customer_name | total_value | quartile | quartile_label
--------------------------------------------------------------------------------
CUST0018 | Charlie Miller | 22508.13 | 1 | Platinum
CUST0041 | Alice Miller | 21241.05 | 1 | Platinum
CUST0009 | Diana Smith | 19828.44 | 1 | Platinum
CUST0033 | John Johnson | 18818.13 | 1 | Platinum
CUST0024 | Frank Davis | 18563.42 | 1 | Platinum
CUST0093 | Frank Jones | 17494.63 | 1 | Platinum
CUST0036 | Jane Smith | 15912.38 | 1 | Platinum
CUST0079 | Bob Williams | 15816.69 | 1 | Platinum
CUST0054 | Henry Garcia | 13974.21 | 1 | Platinum
CUST0065 | Diana Rodriguez | 13938.98 | 1 | Platinum
CUST0050 | Henry Rodriguez | 13852.77 | 1 | Platinum
CUST0080 | Henry Williams | 13790.65 | 1 | Platinum
CUST0067 | Eve Brown | 13503.2 | 1 | Platinum
CUST0083 | Grace Rodriguez | 13119.32 | 1 | Platinum
CUST0075 | Charlie Garcia | 13027.14 | 1 | Platinum
CUST0002 | Jane Garcia | 12760.64 | 1 | Platinum
CUST0025 | Frank Jones | 12631.88 | 1 | Platinum
CUST0084 | Alice Brown | 12353.99 | 1 | Platinum
CUST0078 | Frank Williams | 10974.12 | 1 | Platinum
CUST0035 | Alice Davis | 10771.4 | 1 | Platinum
CUST0057 | Grace Smith | 10759.6 | 1 | Platinum
CUST0064 | Diana Johnson | 10456.79 | 1 | Platinum
CUST0032 | Diana Davis | 10428.11 | 1 | Platinum
CUST0061 | Henry Smith | 10197.58 | 1 | Platinum
CUST0055 | Diana Jones | 9767.29 | 1 | Platinum
CUST0023 | Eve Smith | 9639.67 | 2 | Gold
CUST0001 | Eve Rodriguez | 9250.31 | 2 | Gold
CUST0038 | Grace Miller | 9132.63 | 2 | Gold
CUST0030 | Henry Williams | 9017.94 | 2 | Gold
CUST0062 | John Johnson | 9003.72 | 2 | Gold
CUST0004 | Frank Jones | 8892.09 | 2 | Gold
CUST0034 | Jane Martinez | 8814.23 | 2 | Gold
CUST0076 | John Jones | 8796.16 | 2 | Gold
CUST0006 | Charlie Smith | 8576.34 | 2 | Gold
CUST0074 | Charlie Rodriguez | 8481.54 | 2 | Gold
CUST0040 | Henry Johnson | 8344.02 | 2 | Gold
CUST0005 | Charlie Miller | 8325.16 | 2 | Gold
CUST0081 | Henry Williams | 8304.11 | 2 | Gold
CUST0031 | Diana Garcia | 8171.2 | 2 | Gold
CUST0049 | Jane Johnson | 7835.14 | 2 | Gold
CUST0052 | Diana Davis | 7818.97 | 2 | Gold
CUST0015 | Alice Miller | 7792.0 | 2 | Gold
CUST0013 | John Williams | 7620.18 | 2 | Gold
CUST0008 | John Rodriguez | 7604.05 | 2 | Gold
CUST0028 | Jane Johnson | 7598.11 | 2 | Gold
CUST0095 | Diana Martinez | 7582.71 | 2 | Gold
CUST0011 | Charlie Martinez | 7569.55 | 2 | Gold
CUST0092 | Jane Miller | 7490.79 | 2 | Gold
CUST0096 | John Rodriguez | 7486.04 | 2 | Gold
CUST0051 | Alice Miller | 7465.63 | 2 | Gold
CUST0070 | Bob Smith | 7386.17 | 3 | Silver
CUST0073 | Alice Garcia | 7250.87 | 3 | Silver
CUST0017 | Charlie Smith | 7245.04 | 3 | Silver
CUST0088 | Charlie Johnson | 7166.1 | 3 | Silver
CUST0069 | Jane Williams | 7156.83 | 3 | Silver
CUST0029 | Eve Smith | 6734.02 | 3 | Silver
CUST0066 | Eve Rodriguez | 6424.82 | 3 | Silver
CUST0042 | Grace Davis | 6266.53 | 3 | Silver
CUST0090 | Grace Brown | 5825.58 | 3 | Silver
CUST0026 | Charlie Williams | 5713.9 | 3 | Silver
